arrival_rate,mean_delay
0.003333,31.666569
0.006667,33.750105
0.010000,36.428985
0.013333,40.001651
0.016667,45.004152
0.020000,52.507106
0.023333,65.011346
0.026667,90.022948
0.030000,165.120784
