arrival_rate,mean_delay
0.100000,1.110759
0.200000,1.249408
0.300000,1.427797
0.400000,1.665834
0.500000,1.998755
0.600000,2.498719
0.700000,3.329004
0.800000,4.995204
0.900000,9.986433
